VendorNumber,VendorName,Brand,Description,AvgPurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,AvgActualPrice,TotalVolume,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,EstimatedProfit,GrossProfit,ProfitMargin,SalesToPurchaseRatio,StockTurnover
3960,DIAGEO NORTH AMERICA INC   ,3840,Smirnoff Raspberry Vodka,14.39,21076,303283.64,22.99,5575500.0,438524.32999999996,224450.24999999997,21167.0,38894.1,257032.07,-121791.38000000006,135240.68999999994,30.8399513431786,1.4459214812905832,1.0043177073448473
9552,M S WALKER INC             ,3769,Jenkins Vodka,7.02,42549,298693.98,9.49,9161250.0,394134.45,134715.91,42105.0,77358.39,55551.82,39888.65000000003,95440.47000000003,24.215206257661574,1.3195259241582307,0.9895649721497568
8673,STE MICHELLE WINE ESTATES  ,8815,Ch Ste Michelle Chard Colmbi,6.07,48853,296537.71,8.99,1849500.0,431702.35,97686.77,48587.0,5449.72,15919.7,119244.93999999996,135164.63999999996,31.30968362808309,1.4558092797034143,0.9945550938529876
3960,DIAGEO NORTH AMERICA INC   ,3879,Smirnoff 80 Proof Traveler,7.91,37344,295391.04,12.99,2638500.0,427609.96,187268.26,36604.0,28815.44,257032.07,-124813.14999999997,132218.92000000004,30.92044909337473,1.4476063999774673,0.9801842330762639
12546,JIM BEAM BRANDS COMPANY    ,1375,Jim Beam,11.5,25183,289604.5,14.49,1572750.0,402621.29,203013.36,26121.0,20569.55,123880.97,-10864.180000000022,113016.78999999998,28.070246856543523,1.3902452827908405,1.0372473494023746
8892,TRINCHERO FAMILY ESTATES   ,41034,Menage a Trois Red,5.26,54738,287921.88,8.99,2297250.0,509372.48,132593.95,54744.0,6135.29,11595.97,209854.62999999998,221450.59999999998,43.475179499292935,1.7691343221293219,1.0001096130658775
1128,BROWN-FORMAN CORP          ,1545,Gentleman Jack,19.42,14785,287124.7,29.99,714750.0,423808.99,253424.58,14501.0,11423.39,68601.68,68082.60999999999,136684.28999999998,32.25138994809902,1.4760450424501967,0.9807913425769361
480,BACARDI USA INC            ,2665,Dewars White Label,15.38,18574,285668.12,19.99,1192500.0,400461.12,215262.61,19088.0,15034.06,89286.27,25506.729999999996,114793.0,28.665204751961937,1.4018404293765787,1.0276730914181114
1128,BROWN-FORMAN CORP          ,1770,Jack Daniels Tennessee Fire,26.42,10746,283909.32,38.99,2073750.0,389506.72000000003,233847.24000000002,10128.0,18613.13,68601.68,36995.72000000003,105597.40000000002,27.11054638543849,1.3719405900447368,0.9424902289223898
4425,MARTIGNETTI COMPANIES,6595,Bogle Merlot,4.48,63188,283082.24,6.95,2314500.0,502198.46,109537.96,62368.0,6997.39,144929.24,74186.98000000004,219116.22000000003,43.63140022372829,1.7740373256902306,0.9870228524403367
1392,CONSTELLATION BRANDS INC   ,35472,R M Woodbridge Pnt Grigio,5.88,47207,277577.16,8.99,6390000.0,469543.36,127217.47,46764.0,10501.0,79528.99,112437.21,191966.2,40.883593796321605,1.6915777940807524,0.9906157985044591
8004,SAZERAC CO INC             ,5105,Dr McGillicuddy's Mentholmnt,14.81,18007,266683.67,25.99,3662750.0,390990.44999999995,199774.49,17355.0,31890.829999999998,50293.62,74013.15999999997,124306.77999999997,31.79279186998045,1.4661207039786124,0.9637918587216082
8004,SAZERAC CO INC             ,5153,Fireball Cinn Whisky Trav,10.44,25499,266209.56,15.989999999999998,1693500.0,381031.35,176397.61000000002,25465.0,20051.86,50293.62,64528.16999999998,114821.78999999998,30.134473187048776,1.431321061497566,0.9986666143770344
3960,DIAGEO NORTH AMERICA INC   ,4368,Capt Morgan Private Stock,23.91,11035,263846.85000000003,32.99,2800000.0,379652.86,234036.58000000002,11114.0,20425.75,257032.07,-141226.06000000006,115806.00999999995,30.503131202541173,1.4389137486386514,1.0071590394200272
3960,DIAGEO NORTH AMERICA INC   ,3488,Tanqueray,15.620000000000001,16740,261478.8,23.99,990750.0,387588.55,216983.09,16745.0,13188.29,257032.07,-130922.32,126109.75,32.53701637986984,1.4822943580894512,1.0002986857825567
3960,DIAGEO NORTH AMERICA INC   ,8111,Smirnoff 80 Proof,0.77,337660,259998.2,0.9899999999999999,161300.0,331589.61,21424.59,334939.0,17579.29,257032.07,-185440.66000000003,71591.40999999997,21.590365874250395,1.2753534832164222,0.9919415980572173
6213,MHW LTD                    ,5921,RumChata Liqueur,14.81,17419,257975.38999999998,21.99,1623000.0,363394.82999999996,188150.97999999998,17317.0,13638.27,9621.58,95797.85999999997,105419.43999999997,29.009614693747842,1.4086414599470127,0.9941443251621792
1392,CONSTELLATION BRANDS INC   ,40096,Black Box Cab Svgn,10.52,24452,257235.04,16.99,9279000.0,443383.47,199192.94999999998,24253.0,10913.85,79528.99,106619.43999999996,186148.42999999996,41.98361973214743,1.723651140217911,0.9918616064125634
17035,PERNOD RICARD USA          ,2756,Jameson Caskmates,22.890000000000004,11220,256825.8,29.99,569250.0,316023.68,194946.5,10632.0,8376.85,123780.22,-64582.34,59197.880000000005,18.732102606994516,1.2304981820362284,0.9475935828877006
9165,ULTRA BEVERAGE COMPANY LLP ,15094,Butter Chard,9.08,28274,256727.91999999998,14.99,1091250.0,368418.66,107099.35,25366.0,2840.4100000000003,68054.7,43636.03999999999,111690.73999999999,30.316254882420996,1.435054901702939,0.8971493244677089
8112,MOET HENNESSY USA INC      ,8612,Grand Marnier,45.79,5583,255645.57,67.99,1673000.0,351316.83999999997,244095.86,5516.0,10139.19,48347.26,47324.00999999996,95671.26999999996,27.23219017909872,1.3742340225179728,0.9879992835393158
9815,WINE GROUP INC             ,6349,Glen Ellen Chard RSV,4.63,55151,255349.13,6.989999999999999,7249500.0,383345.58,101103.36,54842.0,12318.42,27100.41,100896.04000000001,127996.45000000001,33.38931154495117,1.5012605682267255,0.9943972004134105
